"","truseq","inlysate","purified_RNA","rand_truseq","rank","inlysate_truseq","purified_truseq","inlysate_purified","rand_truseq_truseq"
"376","TEX2","ADAM19","SSX2IP","GHSR",376,255,266,253,7
"377","FMN2","LIMS1","EXT1","H4C6",377,255,268,254,7
"378","MAP3K4","FNBP1L","HUNK","TRIM31",378,255,269,255,7
"379","DPYSL2","ADGRE5","STK24","LOC112267909",379,256,270,256,7
"380","CD44","ARHGEF40","KLF7","LINC01372",380,257,271,256,7
"381","PRRG1","CDK17","STXBP5","LINC02239",381,259,272,258,7
"382","TRIM63","NT5DC3","ARID5A","LINC01792",382,260,273,259,7
"383","CELF2","EZR","ATP8B1","LOC107984779",383,261,274,260,7
"384","C5AR2","SSBP2","CALCRL","FAM86HP",384,263,275,261,7
"385","LGR4","TAB2","LRRC2","MIR4708",385,264,276,262,7
"386","ZMIZ1","COBLL1","PRRG4","EPHB2",386,265,277,262,7
"387","ATOH8","TES","DCUN1D3","DEFB124",387,266,277,262,7
"388","PPM1B","TMEM87A","MN1","LINC02869",388,266,278,262,7
"389","NAV3","ATP1B1","STAC2","LOC107985085",389,266,279,263,7
"390","EPS15","DYRK3","SLC9A1","MAST4-AS1",390,266,279,263,7
"391","SLC7A11","KDSR","S1PR3","CHMP2B",391,266,279,263,7
"392","GNB4","XIRP1","RARG","MAGEH1",392,266,280,264,7
"393","NKD1","SMURF2","OTULINL","MZT2A",393,267,281,264,7
"394","ADRA1B","RIN1","MC1R","RNF139-AS1",394,269,282,265,7
"395","IFNGR1","PDHA1","NECTIN3","SCIN",395,269,283,265,7
"396","UGCG","PSG5","SCFD2","VKORC1",396,269,283,265,7
"397","ZRANB1","SSR3","C11orf68","BORCS7-ASMT",397,270,284,266,7
"398","F2R","ST3GAL1","CMTM4","LINC02346",398,271,285,267,7
"399","ARID5A","SLC9A1","JPH2","LOC101928156",399,271,287,268,7
"400","ADAM19","IGF2BP2","FOXL1","SNORD41",400,272,287,268,8
"401","ANGPTL2","ITSN1","RASL11B","LGALS8-AS1",401,273,288,268,8
"402","SH3PXD2B","HIF1A","HSPB2","ADAMTS4",402,274,288,268,8
"403","MIR100HG","INHBA","RBM43","IL13RA1",403,275,289,269,8
"404","TES","FBXO42","ARRDC1","MIR484",404,277,289,270,8
"405","KITLG","CREB3L2","EFR3B","TCIM",405,277,291,270,8
"406","MAMLD1","KLF15","TNFAIP6","LOC112268374",406,278,291,272,8
"407","RERE","RRAS2","TACC1","DDX23",407,279,293,273,8
"408","EMP2","SPHK1","POLR3C","LOC100505851",408,280,294,274,8
"409","ETV4","GPR89A","ASPM","LOC105375181",409,281,294,274,8
"410","SLC4A4","CYTH3","SAMD11","SNORA29",410,282,294,275,8
"411","HAND2","ULBP3","PRRG1","UBE2S",411,283,296,277,8
"412","JUN","PALM2AKAP2","SH3RF3-AS1","LINC02494",412,284,297,277,8
"413","REPS1","FOXC2","UBASH3B","MAP3K4",413,284,299,278,9
"414","ARHGEF26","ANKRD12","ZNF331","SNORA95",414,284,299,279,9
"415","MRPS6","HSPB3","TUBB3","LOC107985943",415,285,301,280,9
"416","PAPPA","FOXP1","LPXN","BPGM",416,285,302,281,9
"417","TCF7","ARSI","EMX2","TG",417,286,302,282,9
"418","FBLN5","LOC107984316","WEE1","LINC00904",418,287,304,282,9
"419","CDH20","AFAP1","RIN2","LOC107987078",419,287,304,282,9
"420","LOC107986820","LITAF","TCF12","ANKLE2",420,288,305,282,9
"421","KDSR","SLC4A7","RASSF9","GTF2H5",421,289,305,282,9
"422","TRAK1","PRDM1","GPS1","SNX2",422,289,305,283,9
"423","DYRK3","PSD3","ROCK2","TARS1",423,290,306,284,9
"424","WNT7B","EEF1A1","IL6R","CFAP126",424,290,306,284,9
"425","LINC02594","DDAH1","FGF7","TMPRSS11BNL",425,292,307,284,9
"426","USP31","PNPLA8","PBX1","LOC112543491",426,292,309,285,9
"427","BDKRB1","RNF150","SPHK1","CHERP",427,292,311,286,9
"428","ID2","CCIN","WNT7B","LRRC2",428,293,312,286,9
"429","RAP2B","SLC44A1","HIVEP2","FDXR",429,294,312,286,9
"430","SMTN","TSC22D1","DUSP5","TIMM23B",430,294,312,287,9
"431","PNPLA8","PRXL2C","PDZRN3","DTNBP1",431,295,313,287,9
"432","NFIA","HDAC7","ABCA1","LOC107985940",432,296,315,288,9
"433","RASAL2","NEAT1","HIF1A","NKX2-2",433,296,315,289,9
"434","BBS10","CMTM4","ETV4","UNC5D",434,297,316,291,9
"435","PRKG2","KCTD3","HK2","LOC105379203",435,297,317,292,9
"436","F2RL1","MMD","HOXC8","MAPK7",436,297,317,292,9
"437","ETV1","EVA1C","KRT19","ZKSCAN3",437,298,317,293,9
"438","MMD","SYBU","APOD","ISCA2",438,299,317,293,9
"439","STK17A","PRDX2","GFPT2","SH3TC2",439,300,319,293,9
"440","FZD2","RBMS1","SMURF2","LOC105372364",440,301,319,294,9
"441","PPP1CB","CCN2","HSPB3","HTR7P1",441,301,319,295,10
"442","S1PR3","APBB1IP","LOC728392","OR4A5",442,302,320,296,10
"443","DNAJA1","ABHD12","SLFN5","SHE",443,302,321,296,10
"444","EPHB3","ZNF618","PACSIN2","LOC105370739",444,303,323,298,10
"445","SYNPO","STAT1","GEM","GNLY",445,303,324,298,10
"446","NUDT16","GASK1B","FOXD1","MUC2",446,304,325,299,10
"447","GTF2H1","EFNB2","PLEKHA5","C11orf1",447,304,325,300,10
"448","FHL2","PRRX2","CHD4","LOC101926892",448,305,326,301,10
"449","APOL6","RPGR","WNT16","ABHD5",449,305,328,302,10
"450","PGM2L1","TRIM63","OSGIN1","SMIM31",450,306,328,303,10
"451","LRRC8A","SUB1","TGFBR2","GART",451,307,330,303,10
"452","BMF","GSR","KCNE4","LOC105375981",452,307,330,303,10
"453","C11orf68","RNF126","LINC01605","LOC107987401",453,308,331,303,10
"454","NPR1","BGN","PLK2","PDK3",454,308,332,303,10
"455","TUT4","ITGA10","MMD","RBM47",455,309,333,304,10
"456","FNDC3A","WWTR1","SYNPO","OR2H1",456,309,334,304,10
"457","RGMB-AS1","TARS1","SOX13","DLX6-AS1",457,309,335,305,10
"458","BEST1","HSPA8","PHLDB1","PLPP5",458,309,337,306,10
"459","KCTD3","EHD1","PRKAG2","RAB3GAP1",459,311,337,307,10
"460","PRKAG2","PLAUR","MYO10","LINC02221",460,311,338,307,10
"461","GPER1","SLC1A5","SGMS2","ADI1",461,311,339,307,10
"462","NR2F2","SLC35D1","KANK1","PRRG4",462,313,341,308,10
"463","FOSL1","UACA","IL1RN","LIMS1-AS1",463,313,341,308,10
"464","MEAK7","SMTN","PSME2","LOC105375049",464,314,341,308,10
"465","ACSL3","DYNLL1","GALNT15","ZNF624",465,314,342,309,10
"466","PNP","BAALC","ATP1A1","MTRNR2L10",466,315,343,310,10
"467","ASAP1","COL1A2","TMEM43","CERKL",467,315,344,310,10
"468","ATP1B1","TNFRSF1A","DAAM1","INTS6-AS1",468,316,345,310,10
"469","CPD","RASA1","BCL3","IRS4",469,317,345,311,10
"470","OTULINL","EXT1","TANC2","LOC101929759",470,318,347,313,10
"471","TRERF1","NNMT","PDLIM1","LOC105375773",471,319,347,314,10
"472","OTUD7B","NUP98","ETS2","STX2",472,320,347,314,10
"473","HDAC7","NFXL1","TNFSF10","LOC107984664",473,321,348,314,10
"474","ARMCX2","DNAJA1","LDLRAD3","LOC728660",474,322,349,316,10
"475","ARHGAP10","MEX3B","CIDEC","RAB28",475,322,349,316,10
"476","CDR2L","TMEM158","NET1","CDC27P11",476,324,350,317,10
"477","FAM222B","PAPPA","IER5","MASP1",477,325,351,317,11
"478","KALRN","SLC20A1","TLN2","LINC00589",478,325,352,318,11
"479","LIFR","OTUB1","BAALC","SLCO1B1",479,325,353,319,11
"480","SSH2","TMEM192","MEAK7","LOC107984129",480,325,354,319,11
"481","GADD45A","PGM2L1","ID1","LOC102724237",481,327,355,320,11
"482","FRMD5","GPAT3","TBX5","TRAPPC5",482,328,355,321,11
"483","PRDM1","LINC00472","NUP98","LOC100499489",483,329,357,322,11
"484","PCBP3","RARG","SQLE","KLHL8",484,330,357,323,11
"485","FNBP1L","SMAD3","PPP2R2C","FLJ39095",485,332,359,324,11
"486","HERC4","PRPS1","AVPI1","MAT2B",486,333,359,324,11
"487","ATP13A3","KIRREL1","B3GNT2","LOC101928816",487,334,359,324,11
"488","SEMA6D","YWHAQ","EPB41L5","PSMA3",488,334,360,324,11
"489","UBL3","MLXIP","AKAP12","MICOS10",489,336,362,326,11
"490","SIK2","ITPKA","PDE4D","LINC02183",490,337,363,327,11
"491","PTGS2","WASF2","SERPINB2","LOC107986940",491,337,364,328,11
"492","CEBPB","PPP2R2C","MBNL1","WDR60",492,339,366,330,11
"493","LINC00968","PSMD8","LOC107984316","RAB11FIP2",493,340,367,331,11
"494","EVA1C","DENND5A","SSBP3","LOC101928202",494,341,368,331,11
"495","PFKFB3","GNB4","DDAH1","TRIM73",495,342,369,332,11
"496","TRPC4","CCDC51","SLC4A7","LOC105377272",496,342,369,333,11
"497","PIK3C2A","BMP2","AHRR","SYNJ2-IT1",497,343,370,335,11
"498","FZD1","DNAJC6","CDKL1","TCEA3",498,344,370,335,11
"499","PRRX1","DENR","RNF144A","TMEM123",499,345,372,335,11
"500","VSTM2L","SART3","CHML","LOC105372209",500,345,373,335,11
"501","MED13L","RPL38","TRPS1","PRXL2A",501,345,373,335,11
"502","SLC20A1","CS","ETV1","AVPR2",502,346,374,336,11
"503","CD163","SLC7A1","HSPH1","LOC105376639",503,346,374,336,11
"504","IL7R","VCAN","OSBPL9","RPS20",504,346,376,336,11
"505","SAMHD1","PBX1","ABTB2","ACYP2",505,348,377,337,11
"506","ULBP3","FGF7","SNX9","LINC00993",506,349,379,339,11
"507","HECW1","COL6A1","IMPA1","NXNL2",507,349,379,339,11
"508","SH3PXD2A","PPP1R14C","ELK3","LOC105372097",508,349,380,340,11
"509","LIMS1","MIR199A1","RNF149","RGS18",509,350,381,340,11
"510","FBN1","GSTO1","PPM1B","FAM71A",510,351,382,340,11
"511","IRAK1","COL3A1","PANX1","FAM135B",511,352,383,340,11
"512","SDC4","APCDD1L-DT","ITGB8","TMEM213",512,352,384,340,11
"513","LATS2","KITLG","CAV1","LOC105370415",513,353,385,342,11
"514","CD163L1","SNX10","SMTN","MORN1",514,353,386,343,11
"515","TP53BP2","ANKMY2","RSPO3","ATOH8",515,353,387,343,12
"516","ATXN1","FAM102A","HOMER1","BCL2L15",516,353,387,343,12
"517","POU2F2","PRDM4","INSYN2A","CDRT15",517,354,388,343,12
"518","RTL6","NDUFS5","CLIC4","LOC105374911",518,354,389,344,12
"519","JADE2","TP53BP2","SAMD9","NEUROD2",519,355,389,345,12
"520","UNC13B","DIRAS3","BDNF","LOC107984032",520,356,389,346,12
"521","TFPI","EEF2","CCL7","RFPL3",521,356,389,346,12
"522","TXNIP","REPS1","MIA2","HS3ST2",522,358,390,347,13
"523","TRIM16","LINC01119","TSHZ2","LOC107987293",523,359,390,348,13
"524","VDR","ANKRD28","ZC3H12C","BIRC5",524,359,392,348,13
"525","PLAUR","BDKRB1","PRR5L","AP1B1",525,361,392,349,13
"526","FSCN1","LRRC15","CDH20","LOC107986229",526,362,393,349,13
"527","SMURF2","FMN2","SOCS6","KCNIP3",527,364,394,350,13
"528","FADS3","RAB34","UGCG","LOC105371456",528,364,395,350,13
"529","OXCT1","DDX47","GTF2F2","ISY1-RAB43",529,365,396,350,13
"530","AFAP1","C1orf198","CMTM3","P3R3URF-PIK3R3",530,366,396,350,13
"531","LDB1","EN1","ZNF385D","FGA",531,366,396,350,13
"532","CDKL5","USP31","CCDC51","LOC105373156",532,367,396,352,13
"533","CREB3L2","CALM2","SH3PXD2B","OR6B1",533,368,397,353,13
"534","ATP2B1","PMEPA1","CD163","ATP13A4",534,368,398,353,13
"535","ZNF521","EGFR","TCF7","LOC107984554",535,368,399,353,13
"536","GOPC","FBLN1","APCDD1L-DT","LINC00385",536,368,399,354,13
"537","THBS1","CH25H","STON1","LOC107987464",537,369,399,355,13
"538","TBC1D4","KIAA1549L","SH2B3","POP1",538,369,400,356,13
"539","SOD2","SOD2","RBPJ","RPS6KA2-AS1",539,370,400,356,13
"540","RRAS2","TMEM200A","OGFRL1","AP3B1",540,372,400,357,13
"541","SLC6A8","DDIT4L","SORBS2","LOC105379597",541,373,400,358,13
"542","PDZRN3","PDE4B","CDKN1A","LOC643802",542,374,401,360,13
"543","PHLPP2","TCEAL3","LONRF1","MIR4274",543,374,402,360,13
"544","SLC44A1","PTGS2","CD44","USP17L12",544,376,403,361,13
"545","MARCKS","MN1","TBC1D8","FAM41AY1",545,378,404,362,13
"546","SPRY1","PPTC7","ACVR1B","PCAT14",546,378,405,362,13
"547","EFNB2","VPS37B","ATP2B1","HOXC5",547,379,407,362,13
"548","SLC1A5","VDR","TMEM87A","LOC107984476",548,381,407,364,13
"549","DRAM1","ERGIC1","STIM2","KIAA2026",549,381,407,364,13
"550","ABHD5","PROS1","CHAC1","ABO",550,381,407,364,14
"551","SORBS1","ITGA3","C3orf80","MIR4295",551,382,407,364,14
"552","LRATD1","SGMS2","CLDN11","RCC1L",552,383,409,366,14
"553","ID1","WBP4","NAPA","ZRANB1",553,384,410,366,15
"554","DCBLD1","DACT3","BBS10","LOC105370869",554,384,411,367,15
"555","PHLDA3","ABL2","FGD6","BCCIP",555,385,411,367,15
"556","RAI14","ZBED3","CHST3","GRIK1-AS1",556,385,412,367,15
"557","SLC22A23","LTBP2","FADS3","LOC112268416",557,385,413,367,15
"558","RIN2","OXSR1","HIPK3","LOC100130452",558,385,415,369,15
"559","SLC4A7","MTHFD2","PTPRG","CCDC88C",559,386,417,369,15
"560","FGD6","PANX1","LDLRAP1","ACTR1A",560,387,418,370,15
"561","NCEH1","HUNK","CALM2","RAG1",561,387,418,372,15
"562","FMNL2","NUDT16","SLC7A11","LOC107983969",562,388,419,372,16
"563","PRRG4","SSTR1","PNP","PGAP2",563,389,421,372,17
"564","CDKN1A","BDKRB2","SMAD6","USP11",564,391,422,373,17
"565","CCIN","NES","RIPOR2","LENG8-AS1",565,392,422,373,17
"566","PNRC1","STK4","LINC00327","LOC101928563",566,393,423,373,17
"567","DHCR24","MED13L","PHIP","SPACA6",567,394,423,373,17
"568","STAC2","VASP","VEGFC","DEFB1",568,394,425,374,17
"569","ZNF331","TNFRSF1B","MAP1A","LOC107985957",569,395,427,375,17
"570","MFSD6","PRSS3","SOX9","ANXA2R",570,396,427,375,17
"571","TRIM25","C1QBP","CPD","OR8B4",571,396,428,375,17
"572","SLC7A1","SEC14L1P1","GDF6","TMEM88B",572,397,429,375,17
"573","BAZ1A","TMEM123","TBC1D4","LOC105372581",573,397,430,375,17
"574","ABCC4","IMPA1","FZD1","DPAGT1",574,397,431,376,17
"575","MAP2","IL6ST","PCGF5","LOC105379841",575,398,432,376,17
"576","TRPS1","UBE2E3","KCTD4","LOC101929777",576,398,433,376,17
"577","NET1","LHFPL6","STEAP4","LINC01425",577,398,435,376,17
"578","TNFRSF1B","CACNA2D1","LRRFIP1","ABHD14B",578,399,437,377,17
"579","PITX2","PDGFRB","SH3PXD2A","LOC105379306",579,399,438,377,17
"580","NAV2","MDK","PLEKHG4B","LOC105375586",580,400,439,377,17
"581","ALCAM","BCLAF1","STARD7","LOC102724419",581,401,440,377,17
"582","GUCY2D","RASD1","GPM6B","LOC105372034",582,401,440,378,17
"583","HECA","LRRN4CL","ADAM19","PCED1B-AS1",583,401,441,379,17
"584","GPRC5A","CMTM7","COBLL1","APOC3",584,401,441,380,17
"585","IL11","F2R","DRAM1","ADAMTS9-AS2",585,402,442,380,17
"586","COL4A1","EXOSC10","ATOH8","SNORD116-13",586,402,443,381,17
"587","JAK1","GOLPH3","ARHGAP10","LOC105378228",587,403,444,381,17
"588","VSTM4","PTK2B","RASSF2","LOC105376774",588,403,445,381,17
"589","IL1RN","SERPINE2","PEAK3","SGSM1",589,403,446,381,17
"590","SOAT1","MRTFA","ACSL1","PNO1",590,404,447,382,17
"591","PHKA1","ATP2B1","SIK2","LOC107985710",591,405,448,384,17
"592","NRIP3","GNPNAT1","HECA","LOC105370068",592,405,449,384,17
"593","SH3RF3-AS1","MYADM","IP6K2","RGPD4",593,405,450,384,17
"594","SLC20A2","MIR31HG","CCIN","DPP8",594,405,451,385,17
"595","CDC14B","TOM1","NEDD9","AKAP13",595,405,451,385,18
"596","IL17RC","TSHZ2","FHL2","DDX43",596,405,452,387,18
"597","ARHGEF40","LRP1","NXPE3","CD300A",597,406,452,387,18
"598","PSD3","SPTBN1","PRLR","C19orf71",598,407,452,387,18
"599","LOXL4","RPS28","B4GALT3","MIR12120",599,407,452,387,18
"600","XIRP1","SLIT2","ADTRP","MIR125B2",600,408,453,387,18
"601","LOC105378909","SGIP1","MYO1E","PSMC1",601,408,453,387,18
"602","CLDN4","AXL","HRH1","PFN2",602,408,454,387,18
"603","MBNL1-AS1","UBE2E1","AKNA","MIR4312",603,408,455,387,18
"604","TNFAIP6","PPP2R3A","EMP1","LOC105379484",604,410,456,388,18
"605","ANKRD28","PPM1B","SYNC","LOC105372518",605,412,456,389,18
"606","KIAA0355","CREBRF","LIX1L","LOC102723305",606,412,457,389,18
"607","DACT3","RPS10","ZNF106","LOC105376914",607,413,459,390,18
"608","MRGPRF","KRT10","ZCCHC9","LRRIQ3",608,414,460,390,18
"609","TMEM26","RPL24","XPO1","MIR376A1",609,414,460,390,18
"610","PDLIM1","PDE4D","RTN4RL1","SMIM19",610,415,461,391,18
"611","TOB2","MAPK3","GLCCI1","LOC105377413",611,415,461,391,18
"612","CAMK2N1","RUNX1T1","FOXK1","LOC107986812",612,416,462,392,18
"613","ELN","RASSF8","MICALL1","TSPYL1",613,417,463,393,18
"614","ADORA1","EIF5","PFDN1","YIPF2",614,417,463,393,18
"615","ADAMTS5","PCNX1","KCTD3","LOC101927044",615,418,465,395,18
"616","MECP2","GAS1","ACKR4","MIR598",616,418,466,396,18
"617","PRDM8","SMAD7","TRIM16","ZBBX",617,418,467,396,18
"618","FOXC2","ARL4A","ARL13B","FRAS1",618,419,468,396,18
"619","JAGN1","EDF1","DYRK3","LOC105371505",619,419,470,397,18
"620","TGFBR3","ZCCHC14","NOTCH2","LINC02648",620,419,471,398,18
"621","RNF150","RBBP6","ROCK1","LINC01166",621,420,472,399,18
"622","MLLT3","SELENOM","NDP","LOC105376674",622,420,473,399,18
"623","LHFPL6","FADS2","SLC22A23","CD8B",623,422,474,399,18
"624","PLEKHG1","ARRDC1","RNF152","LOC105372049",624,422,474,400,18
"625","TBC1D1","TRPV1","ZNF672","FBXO30",625,422,474,400,18
"626","AGPAT4","INSC","ATP13A3","RAB7A",626,423,475,402,18
"627","ATP2A2","PCNA","BASP1","LOC100128361",627,423,475,403,18
"628","TNKS","MYCBP2","CDC42SE2","FAM155A",628,423,475,403,18
"629","CDK14","RHBDF1","SERF2","ATP6V1E1",629,423,475,403,18
"630","DGKH","NEDD4L","PEMT","LOC102724452",630,423,475,403,18
"631","RTN4RL1","PLEKHH2","RALGPS2","MIR29B2CHG",631,423,476,404,18
"632","RIPOR2","ANXA11","RASL11A","KIAA0753",632,423,478,404,18
"633","PTPDC1","STAT5A","LCLAT1","LOC105375328",633,423,478,404,18
"634","XPO1","MT1L","ANKRD28","CCDC12",634,423,480,405,18
"635","CDKL1","TPM2","RAMP1","RAB37",635,423,481,405,18
"636","SSX2IP","TOB2","GDF15","TMEM258",636,424,482,405,18
"637","PPP1R15A","BPTF","DDX6","MIR509-3",637,424,483,405,18
"638","CHML","WSB1","BAG3","GGT8P",638,424,484,406,18
"639","PANK3","ZNF626","ID4","LOC105377799",639,424,484,406,18
"640","LOC107984316","BIVM","FAM43A","LOC105376956",640,425,485,406,18
"641","WDR26","SLC17A5","PGF","CRPPA-AS1",641,425,485,406,18
"642","FGF7","ITGBL1","HSPE1","SERPINA2",642,426,486,406,18
"643","ETS2","CHML","TNIP3","SIDT2",643,427,487,407,18
"644","VASP","ARL13B","KDSR","LOC105378477",644,428,488,409,18
"645","DIRAS3","YWHAB","MIR4458HG","LOC105378735",645,429,489,409,18
"646","TSHZ2","SMS","MT1A","CRYBA2",646,430,490,409,18
"647","OXSR1","RPL26","RBM39","LOC105372501",647,431,491,409,18
"648","EBF3","CHD9","RNF150","SLC39A12",648,431,492,410,18
"649","NUFIP2","CORO2B","SPOCD1","OR6C1",649,431,492,410,18
"650","DOCK11","RUNX2","FBXL3","PROP1",650,431,492,410,18
"651","BAG3","CYP19A1","TRAK1","LOC112268049",651,432,494,410,18
"652","TMEM87A","NCR3LG1","PPP1R3C","UGT2B10",652,434,495,410,18
"653","SOS2","TUBB6","PPIG","TRDN",653,434,495,410,18
"654","SSBP3","PPP4R3A","SPATA20","EMC2",654,434,496,410,18
"655","ERCC6","ARHGAP31","TGFBR3","RHOJ",655,434,497,410,18
"656","FAM102A","TP53I13","FNDC3B","CDK8",656,435,497,410,18
"657","TUBB6","COX7C","HBEGF","SH3BP1",657,436,497,410,18
"658","RAB11FIP2","OGFRL1","MRPL40","LOC101927383",658,436,497,411,19
"659","KCTD12","CNN3","SYBU","LOC105376936",659,436,497,412,19
"660","KRT19","TYRO3","KPRP","LOC105371893",660,437,498,413,19
"661","SYBU","UGCG","FAT4","C5orf52",661,439,500,414,19
"662","MAP3K6","STIP1","POR","LOC105371056",662,439,500,414,19
"663","ZBED3","FAM214A","TANC1","LOC105374221",663,440,500,414,19
"664","ARL13B","RIN2","SOX11","SLTM",664,442,501,415,19
"665","CT75","BACH1","FADS2","INO80",665,442,502,416,19
"666","AKT3","ZSCAN2","LPAR1","CYP2D6",666,442,503,417,19
"667","RABGGTA","SFT2D2","PET100","LRCH4",667,442,503,417,19
"668","NEDD9","MB21D2","PRDM8","LOC105379329",668,442,505,417,19
"669","STAMBPL1","HMGA2","PEX2","RNVU1-19",669,443,505,418,19
"670","RPGR","PTGFR","SPATS2","SLC30A3",670,444,505,419,19
"671","KCNE4","IER5L","ZNF438","LOC100996325",671,444,506,420,19
"672","UBALD2","FES","AFAP1","LOC107984245",672,445,508,421,19
"673","HSPB8","PGF","TSPAN5","RPP30",673,445,508,422,19
"674","GNPNAT1","SLC35B2","PPTC7","SH3BGR",674,446,508,423,19
"675","FUT8","SIPA1L3","MBNL2","LOC105379183",675,446,509,424,19
"676","NIBAN2","PWWP2B","TARS1","KCNJ18",676,447,509,425,19
"677","DCUN1D3","TMEM237","CELF2","SNORD14D",677,447,511,426,19
"678","SLC1A2","ZC3H11A","RABGGTA","MIR7151",678,447,512,426,19
"679","GLS","LRATD1","MARCHF7","PCK2",679,449,512,427,19
"680","BMT2","STOM","ZNF217","MIR4794",680,449,512,427,19
"681","AGO2","MED28","LAMA3","CES1P1",681,449,513,427,19
"682","SLFN5","WBP1L","SSTR1","SULT6B1",682,450,515,428,19
"683","TSPAN5","FLNC","TRERF1","CHODL",683,450,517,428,19
"684","PLEKHA5","ADSS2","CINP","MIR548B",684,450,518,428,19
"685","CYTOR","TPM1","PFKFB3","UGDH",685,451,520,428,19
"686","RUNX2","MAPKAP1","RASAL2","LOC105379409",686,452,521,428,19
"687","SLC9A1","LOC107984616","AMPD2","OR52E1",687,453,522,428,19
"688","TUBA1A","AMPD2","LOC101928352","TIGAR",688,454,523,429,19
"689","AMOTL2","STAMBPL1","MED13L","SUCNR1",689,455,524,430,19
"690","SCFD2","KDELR2","LATS2","ADAM29",690,455,526,430,19
"691","GSR","NECTIN3","GGT5","LOC107984638",691,456,526,431,19
"692","MYO18A","PFDN5","FAM107B","INSR",692,456,526,431,19
"693","ANKRD13A","SYNPO","LRRC8C","LOC105369318",693,457,526,432,19
"694","TLL1","FOSL2","MED28","ELANE",694,457,526,433,19
"695","RAPH1","RPL37","LOC100126784","LOC107985043",695,457,526,433,19
"696","FLNC","PLEC","ENTPD7","LOC107984198",696,458,526,433,19
"697","EPG5","ENDOD1","DEDD2","MIR100HG",697,458,526,433,20
"698","EHBP1","COL14A1","TPRA1","CTPS1",698,458,526,433,20
"699","ITPRIP","NXN","COPS8","MIR30E",699,458,526,434,20
"700","CIDEC","SAMD11","EMP2","LYRM4-AS1",700,458,528,435,20
"701","PTK2B","FZD1","DUSP18","LOC105371686",701,460,528,436,20
"702","TENM4","TCTN2","BICD1","ST3GAL5",702,460,528,436,20
"703","ANKRD12","PGRMC1","PTPN14","NOTCH2NLA",703,461,528,437,20
"704","KIAA0513","EMP1","PHLDB2","SCAND2P",704,461,528,438,20
"705","BASP1","ZNF709","NFKBIZ","NCOR1P4",705,462,529,439,20
"706","LITAF","C4orf48","CCDC85C","MYD88",706,463,529,439,20
"707","SLIT2","FSCN2","TACC2","LOC105375624",707,464,529,439,20
"708","DAAM1","IFIT2","FOSL1","CDK11B",708,464,531,439,20
"709","C5orf51","WHAMM","HOXB3","EOLA2",709,464,531,439,20
"710","DDX17","ADAMTS5","PRKG2","ZNF423",710,465,532,440,20
"711","PAQR5","FBXW4","SEMA3A","MKNK2",711,465,532,440,21
"712","PALLD","ECPAS","RAB11FIP2","PMS2P9",712,465,533,440,21
"713","ITPKA","DBT","TENT5B","CYB5B",713,466,534,440,21
"714","GOLPH3","FRMD4A","BMT2","SNORA11D",714,467,535,440,21
"715","SSR3","AMT","BAIAP2","LOC107985686",715,468,535,440,21
"716","PGF","APMAP","SASH1","LOC105369532",716,469,536,440,21
"717","MAN1A1","PEX11B","FOXP1","TP53TG1",717,469,536,441,21
"718","FUT4","STON1","LFNG","LOC105379473",718,469,536,442,21
"719","TUBA4A","ZNF503-AS2","NUP62","GBA2",719,469,536,442,21
"720","RNF149","PYGB","LINC00673","LOC101927506",720,470,537,443,21
"721","YBX3","SLFN5","IFRD1","BSCL2",721,471,537,444,21
"722","SH3GLB1","CBR1","TTYH3","LINC01392",722,471,537,444,21
"723","TXNRD1","RPS24","GPER1","LOC105373115",723,471,538,444,21
"724","NFKBIZ","ACTN1","MRPL17","LOC105371517",724,472,539,444,21
"725","SIPA1L3","SACM1L","CCN2","LOC105377816",725,473,539,445,21
"726","RIPK4","POSTN","CNKSR3","LINC02050",726,473,539,445,21
"727","TRABD2B","ARF6","RBM14","P2RY8",727,473,539,445,21
"728","PRLR","ARAP1","TIAM2","MIR1291",728,473,540,445,21
"729","LARP4","HOXC11","CACNB2","ROPN1L-AS1",729,473,540,445,21
"730","NXPE3","SCOC-AS1","EIF2AK3","LOC100128076",730,473,541,445,21
"731","DDIT3","FAT4","TUT4","MIR626",731,474,543,447,21
"732","PPP1R14C","WDR26","MAMLD1","RRM2B",732,476,544,447,21
"733","STON1","PHF20L1","TOM1","PRSS2",733,477,545,448,21
"734","COBLL1","PCBP1","SNX7","FAM197Y6",734,478,546,448,21
"735","INHBA","ABHD5","RAF1","TTTY7B",735,480,548,448,21
"736","IMPA1","TOPBP1","F2R","LOC105375210",736,481,550,449,21
"737","PRUNE2","PRICKLE2-AS1","STON2","SLC44A3-AS1",737,481,550,449,21
"738","DPY19L3","BCL9","ERCC6","LOC101929028",738,481,551,449,21
"739","APCDD1L","ARMC9","ZNF697","KAT7",739,482,551,450,21
"740","MLLT11","SLC15A4","EIF3K","PTGES2",740,482,551,450,21
"741","NFXL1","KLF7","SHC3","TRH",741,484,551,451,21
"742","SH3BP5","ARL4C","ARHGEF19","KRTAP1-5",742,485,552,451,21
"743","CHD9","PEA15","HECW1","SEC23IP",743,486,553,451,21
"744","ZFAND5","FXYD5","MIR4435-2HG","LOC105370370",744,487,554,451,21
"745","ACVR1B","SERPINH1","PCBP3","COL4A2-AS2",745,487,556,451,21
"746","ZNF438","ACSL1","LOC105372520","CDC40",746,488,557,452,21
"747","WNT9A","LGALS3","CAPN7","KRBOX1-AS1",747,488,557,452,21
