	samp_1_DMSO	samp_2_DMSO	samp_3_DMSO	samp_4_DMSO	samp_5_DMSO	samp_6_DMSO	samp_1_calmidazolium 	samp_2_calmidazolium 	samp_3_calmidazolium 	samp_4_calmidazolium 	samp_5_calmidazolium 	samp_6_calmidazolium 	samp_1_fludrocortisone	samp_2_fludrocortisone	samp_3_fludrocortisone	samp_4_fludrocortisone	samp_5_fludrocortisone	samp_6_fludrocortisone
LOC107986599	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986601	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986602	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986603	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
LOC107986604	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986605	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986606	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	3	4	0
LOC107986607	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986608	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986610	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986611	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
LOC107986613	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
LOC107986614	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986617	0	1	0	0	2	1	0	1	0	1	0	2	4	11	0	3	5	2
LOC107986619	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986620	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
LOC107986621	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986622	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986623	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986624	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986626	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986627	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986629	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1
LOC107986630	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0
LOC107986631	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986632	2	1	3	1	1	4	0	0	0	1	0	1	1	0	0	2	2	0
LOC107986633	1	0	0	0	1	2	0	0	0	0	0	0	0	0	0	2	1	0
LOC107986634	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986635	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986636	1	0	3	0	0	0	0	1	0	0	0	1	0	3	0	0	0	0
LOC107986637	2	2	10	0	2	3	2	0	2	0	2	6	3	7	1	2	3	4
LOC107986638	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986639	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986640	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986641	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
LOC107986642	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	2	0
LOC107986643	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986644	2	2	2	1	1	0	0	0	0	1	0	0	4	4	0	3	2	0
LOC107986646	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
LOC107986649	0	3	12	0	5	1	2	1	2	0	11	2	5	7	0	5	12	1
LOC107986650	0	1	0	0	1	0	0	0	0	1	2	0	1	1	0	2	3	2
LOC107986651	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986652	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986653	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986654	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986655	3	1	7	0	1	0	1	1	1	4	2	0	3	3	0	6	9	1
LOC107986656	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0
LOC107986659	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986660	0	0	0	1	1	0	0	0	0	0	2	0	1	3	0	2	1	0
LOC107986661	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986662	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986663	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0
LOC107986664	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986666	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986668	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986669	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0
LOC107986671	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
LOC107986672	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986673	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
LOC107986674	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986675	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986676	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986677	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986678	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986694	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986696	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986697	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986698	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
LOC107986699	0	1	0	0	0	0	1	1	0	2	1	0	1	2	0	1	2	1
LOC107986700	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	2
LOC107986707	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
LOC107986708	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986709	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
LOC107986710	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
LOC107986712	0	0	1	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0
LOC107986713	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
LOC107986715	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986716	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
LOC107986717	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986718	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986719	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986720	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986721	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986722	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986733	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986734	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986735	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0
LOC107986736	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986737	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986738	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986741	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986742	4	6	7	4	1	1	5	4	4	1	1	1	4	4	3	3	9	0
LOC107986743	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986744	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986745	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986746	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986747	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986749	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986750	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986751	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986755	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986756	0	0	1	1	0	1	3	2	1	1	1	2	3	4	0	1	2	0
LOC107986757	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986758	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986759	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986760	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
LOC107986761	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986762	1	1	5	1	2	1	2	4	0	4	2	5	8	9	1	6	26	6
LOC107986763	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986766	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986767	1	0	0	0	1	0	0	3	0	2	1	0	4	0	0	2	2	0
LOC107986768	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986769	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986770	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986772	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986773	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
LOC107986774	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
LOC107986775	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986776	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	1
LOC107986777	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986779	1	1	0	0	0	1	0	1	0	3	0	1	1	3	0	0	1	1
LOC107986780	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986781	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986782	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986784	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986785	7	2	3	1	1	1	0	0	0	3	0	1	1	2	0	3	2	0
LOC107986786	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986787	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986788	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
LOC107986789	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986790	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
LOC107986794	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986796	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986798	1	2	1	0	0	0	0	1	0	0	0	0	1	0	0	2	1	0
LOC107986800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986811	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986812	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986813	1	3	6	0	1	1	0	0	0	0	0	0	7	6	1	1	8	1
LOC107986814	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
LOC107986815	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986816	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986817	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986819	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986820	71	70	95	41	48	31	118	130	75	161	70	45	57	43	2	42	74	23
LOC107986821	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1
LOC107986822	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986823	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986824	0	1	0	3	0	0	0	0	0	0	0	0	3	1	0	1	4	1
LOC107986825	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986826	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986828	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986829	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
LOC107986830	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986832	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986833	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0
LOC107986834	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986835	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986836	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986837	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986838	11	4	20	2	12	1	4	3	7	2	3	0	19	20	5	12	40	12
LOC107986839	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986840	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986841	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986843	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986845	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986846	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
LOC107986847	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986848	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986849	2	0	1	0	0	0	2	0	0	0	2	0	0	0	0	0	2	0
LOC107986850	0	0	4	0	0	2	0	1	1	1	0	0	0	2	0	1	0	2
LOC107986852	38	16	63	25	29	23	39	40	20	43	21	12	97	78	7	54	106	53
LOC107986853	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
LOC107986854	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986855	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986856	1	4	1	0	1	0	12	3	0	0	2	1	8	2	0	2	4	2
LOC107986858	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986859	10	4	12	7	1	5	17	8	4	10	2	1	48	13	2	25	10	5
LOC107986860	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986862	4	2	6	1	1	4	0	4	2	0	2	2	10	4	0	8	15	2
LOC107986863	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986864	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986865	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986868	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	1	0
LOC107986870	0	1	1	1	0	0	0	0	1	1	1	1	0	0	0	3	2	1
LOC107986871	2	2	1	0	0	0	1	4	1	1	0	0	1	7	0	4	2	0
LOC107986872	0	1	1	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0
LOC107986874	0	0	0	2	0	0	0	1	0	0	0	0	2	0	0	0	2	1
LOC107986876	0	1	4	0	0	0	0	0	0	0	3	0	4	1	0	0	3	1
LOC107986880	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986881	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986882	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
LOC107986883	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
LOC107986884	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986885	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986886	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986887	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986888	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	2	0	0
LOC107986890	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986891	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986892	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986893	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986894	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986895	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986896	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
LOC107986897	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986898	0	3	1	1	1	0	0	1	0	6	1	0	1	5	1	3	1	2
LOC107986899	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986901	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986902	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986903	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986904	0	0	0	0	0	0	0	0	0	2	1	0	4	2	0	0	2	0
LOC107986905	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986906	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986907	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986908	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986910	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986912	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986913	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986915	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986916	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986918	1	1	1	0	0	0	0	0	0	1	0	0	1	2	0	2	0	0
LOC107986919	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986920	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986921	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986922	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986923	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986924	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986925	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	1	0
LOC107986926	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
LOC107986929	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986930	1	0	0	0	0	0	0	0	0	2	3	0	6	1	0	0	5	0
LOC107986931	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0
LOC107986932	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986933	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986934	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
LOC107986935	5	4	7	6	1	2	0	4	2	7	0	2	6	4	2	7	3	1
LOC107986936	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986938	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
LOC107986939	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	1	0
LOC107986940	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
LOC107986941	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986942	2	1	6	6	2	4	0	4	3	11	3	7	5	12	0	15	20	5
LOC107986943	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986944	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986945	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986946	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986948	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
LOC107986949	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
LOC107986950	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986951	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	2	0
LOC107986952	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986953	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986954	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986955	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
LOC107986956	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986957	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986959	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
LOC107986961	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986962	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986963	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986964	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986965	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986966	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986968	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986969	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986970	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
LOC107986971	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986972	0	2	2	6	2	0	1	1	0	3	1	0	6	1	1	2	1	0
LOC107986973	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986974	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986976	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986977	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986978	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986979	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986981	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986982	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
LOC107986983	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986984	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986985	1	5	8	3	8	2	1	6	9	9	3	8	16	9	0	13	15	13
LOC107986986	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986989	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	1	0	0
LOC107986990	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986991	1	1	1	1	2	1	0	3	0	0	0	2	7	2	0	3	1	6
LOC107986992	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
LOC107986993	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986995	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986997	0	4	4	0	0	2	0	1	0	2	1	0	5	4	0	7	11	3
LOC107986998	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
LOC107987000	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
LOC107987003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107987004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107987006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107987007	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
LOC107987008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107987009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107987010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107987011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107987012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107987013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107987014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107987015	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
LOC107987016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107987026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107987027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107987028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107987029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107987031	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107987032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107987033	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107987035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107987037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107987038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
